AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
工業區,丁種建築用地,青二路10巷1~30號,公寓(5樓含以下無電梯),100.00%,B,,10705,無,,"四層,屋頂突出物/四層",-1,25,956,1,1,0,24.40659751229308,120.6451097903653,無,"117,045",bt_01.png,10,21.36,SpNGwlIUo+TeScB4CJlB6rkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),250,Biz,3房2廳2衛有隔間,B11
住,,甲東路571~600號,華廈(10層含以下有電梯),62.29%,B,,10705,無,,一層/六層,0,2,957,1,1,1,24.34045872177678,120.62746158263819,有,"129,808",bt_06.png,33,28.89,fR1FYCKnFqVK/cAp2ewEQrkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,375,Biz,2房2廳1衛有隔間,B11
住,,中山路一段761巷1~30號,透天厝,,B,,10705,無,,全/三層,-1,43,958,2,1,0,24.34155824484115,120.61940704056705,無,"87,111",bt_02.png,12,80.36,jOJyFCtk+Sbci6Y0kqz9Y7kZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),700,Biz,3房3廳3衛有隔間,B11
農,,文曲路571~600號,透天厝,,B,,10705,無,,全/三層,1,1,959,1,1,0,24.34166956229874,120.61429439642806,無,"193,888",bt_02.png,11,55.60,egygwWXW9/UpynpDvNivM7kZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),"1,078",Biz,4房2廳4衛有隔間,B11
住,,興安路31~60號,透天厝,,B,,10705,無,,全/二層,-1,36,960,1,1,0,24.347849057835116,120.6133130084173,無,"103,091",bt_02.png,11,40.74,j352X5iOh4uzhJ4t2I7p9LkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),420,Biz,3房2廳2衛有隔間,B11
住,,甲后路五段481~510號,透天厝,,B,,10705,無,,全/四層,-1,3,961,2,1,0,24.346481742925576,120.63161322614708,無,"170,615",bt_02.png,18,91.43,McnspSHIpaf+hnB16XliHbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),"1,560",Biz,4房2廳4衛有隔間,B11
住,,中山路一段481~510號,透天厝,,B,,10705,無,,全/三層,-1,21,962,2,1,0,24.339001573534567,120.61854668157514,無,"46,502",bt_02.png,12,120.27,qjT+2aiFWIB6qbxzuAwC0bkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),559,Biz,3房1廳3衛有隔間,B11
住,,平安里文昌街61~90號,華廈(10層含以下有電梯),69.75%,B,,10704,無,,五層/七層,-1,25,963,4,1,1,24.348803648936478,120.62119917636271,有,"119,121",bt_06.png,53,39.88,SQr/bepLI2h6FZC4HtLVwbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,475,Biz,3房2廳2衛有隔間,B11
特定農業區,甲種建築用地,經國路2151巷60弄1~30號,透天厝,,B,,10704,無,,全/二層,0,38,964,1,1,0,24.388475325531072,120.64933254143843,無,"129,260",bt_02.png,10,30.95,Z+eLb5HY5P1fTVeB8fin7rkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),400,Biz,4房2廳2衛有隔間,B11
住,,五福街61~90號,透天厝,,B,,10704,無,,全/四層,-1,39,965,1,1,0,24.347719004525345,120.6204427538484,無,"61,960",bt_02.png,11,104.91,g75mpvzilwSs2w15l6WExbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),650,Biz,6房3廳4衛有隔間,B11
