AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
特定農業區,農牧用地,東西六路二段121~150號,農舍,,B,,10506,無,,"一層,二層/二層",0,,129,1,1,0,24.378409285431207,120.59753433835444,無,"137,031",bt_10.png,42,65.75,QPajnTDeS/Xj1eNSvUY67bfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),900,Biz,,B22
特定農業區,甲種建築用地,東西四路一段76巷1~30號,透天厝,,B,,10505,無,,全/三層,-1,21,130,2,1,0,24.379700207680802,120.61946683152381,無,"95,987",bt_02.png,20,50.01,ydQl1IJdXddG+kn5OahEUbfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),480,Biz,4房2廳3衛有隔間,B22
特定農業區,甲種建築用地,松九街115巷1~30號,透天厝,,B,,10505,無,,全/三層,1,,131,2,1,0,24.36418480132852,120.60535324943594,無,"126,621",bt_02.png,17,57.34,71SVfXExLPiceFljN7tMGbfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),726,Biz,4房2廳3衛有隔間,B22
鄉村區,乙種建築用地,大安港路1180巷1~30號,透天厝,,B,,10505,無,,全/二層,-1,37,132,1,1,0,24.379895960064804,120.58632130223046,無,"73,693",bt_02.png,10,33.93,cIzLsSa+4bySkDCNc6lUebfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),250,Biz,3房1廳2衛有隔間,B22
特定農業區,甲種建築用地,松九街115巷1~30號,透天厝,,B,,10505,無,,全/三層,1,,133,2,1,0,24.364187559524606,120.60536999710513,無,"119,617",bt_02.png,17,59.52,YEBpJ5nz1uDp7Ixo6evhrLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),712,Biz,4房2廳3衛有隔間,B22
住,,中山南路257巷1~30號,透天厝,,B,,10504,無,,全/二層,-1,35,134,1,1,0,24.344353928161954,120.5878648404114,無,"97,765",bt_02.png,9,30.69,itAep2CWKUjvNLlAXc8527fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),300,Biz,3房2廳2衛有隔間,B22
鄉村區,乙種建築用地,興安路177巷61~90號,透天厝,,B,,10504,無,,全/四層,1,,135,1,1,0,24.344427875749915,120.5983694084382,無,"117,002",bt_02.png,11,58.55,2GqOz0WX5OXsHCJCGGWGfrfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),685,Biz,4房3廳3衛有隔間,B22
住,,中松路1~30號,透天厝,,B,,10504,無,,全/三層,-1,20,136,1,1,0,24.34670711990483,120.58728759130197,無,"104,889",bt_02.png,10,60.64,YkKV3XpDnS8KoSVP/5dxeLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),636,Biz,5房1廳3衛有隔間,B22
鄉村區,乙種建築用地,興安路177巷61~90號,透天厝,,B,,10503,無,,全/四層,1,,137,1,1,0,24.344437966582557,120.59832867518072,無,"116,149",bt_02.png,12,58.55,w1+9mZt8nPvcw/hXusRkVLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),680,Biz,4房3廳3衛有隔間,B22
住,,中松路56巷31~60號,透天厝,,B,,10502,無,,全/二層,-1,35,138,6,2,0,24.346770170647904,120.58856265500208,無,"85,706",bt_02.png,16,81.67,cW1kEAWTSKd91E9OFFuUl7fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),700,Biz,4房2廳4衛有隔間,B22
特定農業區,農牧用地,東西三路250巷1~30號,透天厝,,B,,10502,無,,全/一層,-1,20,139,1,1,0,24.386910605892226,120.60217831188962,無,"210,744",bt_02.png,32,12.10,B0nRPJcqOrFSdl+6VSXVVrfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),255,Biz,3房2廳2衛有隔間,B22
