AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,樂業南路181~210號,住宅大樓(11層含以上有電梯),40.12%,B,"2,400,000",10710,有,58.96%,十五層/十五層,0,,1823,1,1,2,24.135119504534543,120.694750583471,有,"256,562",bt_05.png,61,57.28,7Jz5feZazNHI6SBSvQLREmSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,"1,240",Biz,3房2廳2衛有隔間,B02
住,,建仁街1~30號,華廈(10層含以下有電梯),74.24%,B,,10710,無,,七層/七層,-1,24,1824,2,1,0,24.131076837995593,120.69238117677735,無,"116,651",bt_06.png,15,24.00,L1u4YA7wK77Dc/NeCobnSWSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),280,Biz,2房2廳1衛有隔間,B02
住,,進化路181~210號,住宅大樓(11層含以上有電梯),50.14%,B,"1,400,000",10710,無,62.30%,十層/十四層,1,,1825,2,1,1,24.147375098514427,120.69411681582145,有,"242,843",bt_05.png,45,55.77,hJMsg+DDn5+dsaTzOUgBYWSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,"1,230",Biz,4房2廳2衛有隔間,B02
住,,進化路181~210號,住宅大樓(11層含以上有電梯),47.63%,B,"1,400,000",10710,無,61.84%,十一層/十四層,1,,1826,2,1,1,24.147375098514427,120.69411681582145,有,"232,370",bt_05.png,45,47.38,UFZUd1bnG7UikFuDE67xoGSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,988,Biz,3房2廳2衛有隔間,B02
住,,東光園路601~630號,住宅大樓(11層含以上有電梯),47.26%,B,"1,350,000",10710,無,60.24%,十二層/十五層,0,,1827,2,1,1,24.141677860984522,120.69765046560372,有,"218,145",bt_05.png,40,47.04,CRMV3QfQcVjkm5uOvixViWSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,940,Biz,3房2廳2衛有隔間,B02
住,,東英十七街121~150號,透天厝,,B,,10710,無,,全/四層,-1,17,1828,4,1,2,24.14847320891616,120.70991536173374,有,"211,379",bt_02.png,46,83.26,vLGWCxurzl7GERwZd1Mv2WSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,"1,760",Biz,5房3廳3衛有隔間,B02
其他,,天乙街140巷31~60號,透天厝,,B,,10710,無,,全/二層,-1,34,1829,1,1,0,24.124649716031133,120.69529341193835,無,"183,438",bt_02.png,10,40.89,r9s8FNMg0P28dinl35TZq2SIQmZA7b/HAZngonSjp7s=,房地(土地+建物),750,Biz,4房2廳2衛有隔間,B02
商,,自由路四段211~240號,住宅大樓(11層含以上有電梯),53.56%,B,,10710,無,55.70%,二層/十五層,-1,4,1830,1,1,1,24.142886385536265,120.7026781317717,有,"198,912",bt_05.png,38,41.73,ervz8zWHy3BsEq1xD7qQZmSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,830,Biz,3房2廳2衛有隔間,B02
住,,東和街1~30號,透天厝,,B,,10710,無,,全/四層,0,12,1831,1,1,0,24.13089987791897,120.70600397976513,無,"404,334",bt_02.png,13,65.54,+jATyGYhnQ+iLSDc96NDMWSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),"2,650",Biz,5房3廳4衛有隔間,B02
住,,樂業路135巷1~30號,公寓(5樓含以下無電梯),68.20%,B,,10710,無,,四層/五層,-1,30,1832,1,1,0,24.13927833109321,120.69606607023178,有,"115,600",bt_01.png,43,25.09,ThOyulQrCXe0lw5xHjztsGSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),290,Biz,3房2廳2衛有隔間,B02
住,,東英七街1~30號,住宅大樓(11層含以上有電梯),52.98%,B,,10710,無,58.43%,二層/十一層,-1,6,1833,1,1,2,24.140835863573763,120.70409385438936,有,"199,355",bt_05.png,37,64.96,/Pr19vfO4EG4nTAfpglFJmSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,"1,295",Biz,3房2廳2衛有隔間,B02
商,,一心街241~270號,華廈(10層含以下有電梯),53.68%,B,,10710,無,61.83%,八層/十層,-1,6,1834,1,1,1,24.134315736210727,120.70175340952757,有,"193,636",bt_06.png,71,25.82,LCI2Sv8veuQxD1gLPyGxpmSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,500,Biz,2房2廳1衛有隔間,B02
住,,富榮街1~30號,公寓(5樓含以下無電梯),83.09%,B,,10710,無,,五層/五層,-1,37,1835,1,1,0,24.14528450507281,120.6899359385299,無,"159,336",bt_01.png,27,23.85,O2dUKYkrOsitsqeC2/uFB2SIQmZA7b/HAZngonSjp7s=,房地(土地+建物),380,Biz,3房2廳2衛有隔間,B02
住,,富榮街1~30號,透天厝,,B,,10710,無,,全/一層,0,7,1836,1,1,0,24.14539580661991,120.6920625454398,無,"648,526",bt_02.png,23,35.47,3yAiN+6h9MZxE7kTE26QYWSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),"2,300",Biz,,B02
住,,建德街271~300號,住宅大樓(11層含以上有電梯),47.76%,B,"1,150,000",10710,無,55.64%,六層/十三層,0,,1837,2,1,1,24.12947393517102,120.69408610345052,有,"214,965",bt_05.png,61,49.59,BHyUbMruSbAUWMGTb+fkZWSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,"1,030",Biz,3房2廳2衛有隔間,B02
住,,東英路751~780號,住宅大樓(11層含以上有電梯),52.99%,B,,10710,無,55.60%,十五層/十五層,0,2,1838,1,1,1,24.14819429290983,120.70666090710336,有,"226,621",bt_05.png,41,47.04,GA4UODYoVuKGDHRyVq4JEGSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,"1,066",Biz,3房2廳2衛有隔間,B02
