AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
住,,沙田路一段428巷11弄1~30號,透天厝,,B,,10301,無,,全/二層,0,35,2646,1,1,0,24.123422071421665,120.56652065863531,無,"88,866",bt_02.png,10,26.44,29YcbqjQAgQ6xrtDiPqrudeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),235,Biz,3房1廳2衛有隔間,B24
住,,自由路421~450號,住宅大樓(11層含以上有電梯),64.61%,B,,10301,無,68.89%,八層/十四層,-1,15,2647,2,1,1,24.15502561376614,120.54764638652271,有,"82,126",bt_05.png,43,36.53,eoRTZHJyiQf8fWNtFf9CVdeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物)+車位,300,Biz,4房2廳2衛有隔間,B24
住,,大明三街29巷1~30號,透天厝,,B,,10301,無,,全/四層,-1,19,2648,2,1,0,24.158242822870868,120.53983238001871,無,"92,155",bt_02.png,17,45.03,V+d62JL94jZBKM6SsLKl59eB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),415,Biz,4房2廳3衛有隔間,B24
住,,沙田路一段6巷1~30號,透天厝,,B,,10301,無,,全/四層,1,1,2649,5,1,0,24.120219563607062,120.57983018398325,無,"180,010",bt_02.png,24,48.33,ykLyN+YkxyLvE+tN65aNl9eB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),870,Biz,5房2廳3衛有隔間,B24
一般農業區,農牧用地,遊園路一段91~120號,透天厝,,B,,10301,無,,全/二層,0,33,2650,1,1,0,24.164110401702537,120.57700173512914,無,"181,785",bt_02.png,13,52.26,TZcKUUGenYfGroj7G1lzRNeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),950,Biz,2房2廳2衛有隔間,B24
鄉村區,乙種建築用地,遊園路二段198巷1~30號,套房(1房(1廳)1衛),100.00%,B,,10301,無,,三層/四層,-1,33,2651,1,1,0,24.173736828469774,120.5813613760077,無,"121,055",bt_07.png,12,7.64,NhkIdpajXJynG7hcMRCzcNeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),92,Biz,1房0廳1衛有隔間,B24
農,,文昌路二段310巷27弄1~30號,透天厝,,B,,10301,無,,全/四層,1,,2652,6,1,0,24.15382946362039,120.53273756035055,有,"126,734",bt_02.png,24,54.13,ZngaeUw6jKL3ufIAftenodeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),686,Biz,5房2廳3衛有隔間,B24
住,,王福街91~120號,透天厝,,B,,10301,無,,全/四層,1,,2653,4,1,0,24.1200323574624,120.57991697428884,有,"146,321",bt_02.png,14,66.29,kcqkLm5In4UvkiYYP3rMUNeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),970,Biz,4房2廳3衛有隔間,B24
住,,沙田路一段320巷1~30號,透天厝,,B,,10301,無,,全/二層,-1,27,2654,1,1,0,24.12345702366341,120.56962050793688,無,"149,098",bt_02.png,10,38.23,flSesh8NrB0ZZae3Nrm93teB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),570,Biz,3房2廳2衛有隔間,B24
住,,大德一街61~90號,透天厝,,B,,10301,無,,全/四層,-1,19,2655,1,1,0,24.158407664259112,120.53850624835,無,"84,129",bt_02.png,9,46.12,32w9c4S5NoWw5LPzAsLbTNeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),388,Biz,4房1廳2衛有隔間,B24
